invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_price,profit,year,month,day,day_of_week,hour
1,WALM003,San Antonio,Health and beauty,74.69,7,01/05/2019,23/03/2026 13:08,Ewallet,9.1,0.48,522.83,250.9584,2019,5,1,Wednesday,13
2,WALM048,Harlingen,Electronic accessories,15.28,5,03/08/2019,23/03/2026 10:29,Cash,9.6,0.48,76.4,36.672,2019,8,3,Saturday,10
3,WALM067,Haltom City,Home and lifestyle,46.33,7,03/03/2019,23/03/2026 13:23,Credit card,7.4,0.33,324.31,107.0223,2019,3,3,Sunday,13
4,WALM064,Bedford,Health and beauty,58.22,8,27/01/2019,23/03/2026 20:33,Ewallet,8.4,0.33,465.76,153.7008,2019,1,27,Sunday,20
5,WALM013,Irving,Sports and travel,86.31,7,02/08/2019,23/03/2026 10:37,Ewallet,5.3,0.48,604.17,290.0016,2019,8,2,Friday,10
6,WALM026,Denton,Electronic accessories,85.39,7,25/03/2019,23/03/2026 18:30,Ewallet,4.1,0.48,597.73,286.9104,2019,3,25,Monday,18
7,WALM088,Cleburne,Electronic accessories,68.84,6,25/02/2019,23/03/2026 14:36,Ewallet,5.8,0.33,413.04,136.3032,2019,2,25,Monday,14
8,WALM100,Canyon,Home and lifestyle,73.56,10,24/02/2019,23/03/2026 11:38,Ewallet,8,0.18,735.6,132.408,2019,2,24,Sunday,11
9,WALM066,Grapevine,Health and beauty,36.26,2,01/10/2019,23/03/2026 17:15,Credit card,7.2,0.33,72.52,23.9316,2019,10,1,Tuesday,17
10,WALM065,Texas City,Food and beverages,54.84,3,20/02/2019,23/03/2026 13:27,Credit card,5.9,0.33,164.52,54.2916,2019,2,20,Wednesday,13
11,WALM013,Irving,Fashion accessories,14.48,4,02/06/2019,23/03/2026 18:07,Ewallet,4.5,0.48,57.92,27.8016,2019,6,2,Sunday,18
12,WALM035,San Angelo,Electronic accessories,25.51,4,03/09/2019,23/03/2026 17:03,Cash,6.8,0.48,102.04,48.9792,2019,9,3,Tuesday,17
13,WALM027,Abilene,Electronic accessories,46.95,5,02/12/2019,23/03/2026 10:25,Ewallet,7.1,0.48,234.75,112.68,2019,12,2,Monday,10
14,WALM035,San Angelo,Food and beverages,43.19,10,02/07/2019,23/03/2026 16:48,Ewallet,8.2,0.48,431.9,207.312,2019,7,2,Tuesday,16
15,WALM031,Lewisville,Health and beauty,71.38,10,29/03/2019,23/03/2026 19:21,Cash,5.7,0.48,713.8,342.624,2019,3,29,Friday,19
16,WALM008,Corpus Christi,Sports and travel,93.72,6,15/01/2019,23/03/2026 16:19,Cash,4.5,0.48,562.32,269.9136,2019,1,15,Tuesday,16
17,WALM029,Round Rock,Health and beauty,68.93,7,03/11/2019,23/03/2026 11:03,Credit card,4.6,0.48,482.51,231.6048,2019,11,3,Sunday,11
18,WALM061,Cedar Park,Sports and travel,72.61,6,01/01/2019,23/03/2026 10:39,Credit card,6.9,0.33,435.66,143.7678,2019,1,1,Tuesday,10
19,WALM053,Conroe,Food and beverages,54.67,3,21/01/2019,23/03/2026 18:00,Credit card,8.6,0.57,164.01,93.4857,2019,1,21,Monday,18
20,WALM013,Irving,Home and lifestyle,40.3,2,03/11/2019,23/03/2026 15:30,Ewallet,4.4,0.48,80.6,38.688,2019,11,3,Sunday,15
21,WALM044,Pharr,Electronic accessories,86.04,5,25/02/2019,23/03/2026 11:24,Ewallet,4.8,0.48,430.2,206.496,2019,2,25,Monday,11
22,WALM088,Cleburne,Health and beauty,87.98,3,03/05/2019,23/03/2026 10:40,Ewallet,5.1,0.33,263.94,87.1002,2019,5,3,Friday,10
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2,15/03/2019,23/03/2026 12:20,Credit card,4.4,0.33,66.4,21.912,2019,3,15,Friday,12
24,WALM067,Haltom City,Electronic accessories,34.56,5,17/02/2019,23/03/2026 11:15,Ewallet,9.9,0.33,172.8,57.024,2019,2,17,Sunday,11
25,WALM023,Midland,Sports and travel,88.63,3,03/02/2019,23/03/2026 17:36,Ewallet,6,0.48,265.89,127.6272,2019,2,3,Sunday,17
26,WALM001,Houston,Home and lifestyle,52.59,8,22/03/2019,23/03/2026 19:20,Credit card,8.5,0.36,420.72,151.4592,2019,3,22,Friday,19
27,WALM072,Lancaster,Fashion accessories,33.52,1,02/08/2019,23/03/2026 15:31,Cash,6.7,0.33,33.52,11.0616,2019,8,2,Friday,15
28,WALM046,Temple,Fashion accessories,87.67,2,03/10/2019,23/03/2026 12:17,Credit card,7.7,0.48,175.34,84.1632,2019,10,3,Thursday,12
29,WALM012,Garland,Food and beverages,88.36,5,25/01/2019,23/03/2026 19:48,Cash,9.6,0.48,441.8,212.064,2019,1,25,Friday,19
30,WALM075,San Marcos,Health and beauty,24.89,9,15/03/2019,23/03/2026 15:36,Cash,7.4,0.33,224.01,73.9233,2019,3,15,Friday,15
31,WALM076,Huntsville,Fashion accessories,94.13,5,25/02/2019,23/03/2026 19:39,Credit card,4.8,0.33,470.65,155.3145,2019,2,25,Monday,19
32,WALM098,Mineral Wells,Sports and travel,78.07,9,28/01/2019,23/03/2026 12:43,Cash,4.5,0.18,702.63,126.4734,2019,1,28,Monday,12
33,WALM021,McAllen,Sports and travel,83.78,8,01/10/2019,23/03/2026 14:49,Cash,5.1,0.48,670.24,321.7152,2019,10,1,Tuesday,14
34,WALM096,Eagle Pass,Health and beauty,96.58,2,15/03/2019,23/03/2026 10:12,Credit card,5.1,0.18,193.16,34.7688,2019,3,15,Friday,10
35,WALM022,Mesquite,Food and beverages,99.42,4,02/06/2019,23/03/2026 10:42,Ewallet,7.5,0.48,397.68,190.8864,2019,6,2,Sunday,10
36,WALM095,Big Spring,Sports and travel,68.12,1,01/07/2019,23/03/2026 12:28,Ewallet,6.8,0.33,68.12,22.4796,2019,7,1,Monday,12
37,WALM041,Mission,Sports and travel,62.62,5,03/10/2019,23/03/2026 19:15,Ewallet,7,0.48,313.1,150.288,2019,10,3,Thursday,19
38,WALM070,Hurst,Electronic accessories,60.88,9,15/01/2019,23/03/2026 17:17,Ewallet,4.7,0.33,547.92,180.8136,2019,1,15,Tuesday,17
39,WALM070,Hurst,Health and beauty,54.92,8,23/03/2019,23/03/2026 13:24,Ewallet,7.6,0.33,439.36,144.9888,2019,3,23,Saturday,13
40,WALM030,Richardson,Home and lifestyle,30.12,8,03/03/2019,23/03/2026 13:01,Cash,7.7,0.48,240.96,115.6608,2019,3,3,Sunday,13
41,WALM033,Pearland,Home and lifestyle,86.72,1,17/01/2019,23/03/2026 18:45,Ewallet,7.9,0.48,86.72,41.6256,2019,1,17,Thursday,18
42,WALM088,Cleburne,Home and lifestyle,56.11,2,02/02/2019,23/03/2026 10:11,Cash,6.3,0.33,112.22,37.0326,2019,2,2,Saturday,10
43,WALM079,La Porte,Sports and travel,69.12,6,02/08/2019,23/03/2026 13:03,Cash,5.6,0.33,414.72,136.8576,2019,8,2,Friday,13
